주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
바우뫼복지문화센터,서울특별시 서초구 우면동  68-1,서초구,우면동,11650103,13.0,37.4717582298,127.0268825903,KOTSA,U_UPIS,사회복지시설,서초복지문화센터,11000NTC199612206566,옥내,13.0,0.0,,,,,
서울우면동우체국,서울특별시 서초구 우면동  727,서초구,우면동,11650103,15.0,37.4637216858,127.0247094416,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200512309446,옥외,0.0,15.0,,,,,
동작문화복지센타,서울특별시 동작구 상도동  176-3,동작구,상도동,11590102,77.0,37.5044171605,126.9411175535,KOTSA,U_UPIS,공공청사,공공청사,11590NTC202003200002,혼합,386.0,7.0,,,,,
흑석동 주민센터,서울특별시 동작구 흑석동  335-2,동작구,흑석동,11590105,10.0,37.5058074733,126.9666676456,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201106166131,옥내,10.0,0.0,,,,,
사당1동 주민센터,서울특별시 동작구 사당동  1004-52,동작구,사당동,11590107,11.0,37.4830400181,126.9787575256,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200604069892,옥내,11.0,0.0,,,,,
사당솔밭도서관,서울특별시 동작구 사당동  708-1188,동작구,사당동,11590107,58.0,37.484111414,126.9673330675,KOTSA,U_UPIS,UQV400,솔밭도서관,11590NTC202501070010,옥내,58.0,0.0,,,,,
당산2동 복합청사,서울특별시 영등포구 당산동4가  80-5,영등포구,당산동4가,11560114,13.0,37.5310316694,126.8973173654,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201102105917,옥내,13.0,0.0,,,,,
영등포 제2스포츠센터,서울특별시 영등포구 당산동4가  96-1,영등포구,당산동4가,11560114,48.0,37.526668205,126.9027400025,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200707111234,혼합,33.0,15.0,,,,,
"방화3동사무소,어린이도서관",서울특별시 강서구 방화동  828,강서구,방화동,11500109,11.0,37.5787073715,126.8136769164,KOTSA,U_UPIS,공공청사,국립연구원,,옥외,0.0,11.0,,,,,
기쁜우리체육센터,서울특별시 강서구 가양동  1466,강서구,가양동,11500104,41.0,37.5692252005,126.8489038965,KOTSA,U_UPIS,사회복지시설,사회복지시설,,혼합,40.0,1.0,,,,,
허준박물관,서울특별시 강서구 가양동  26-5,강서구,가양동,11500104,34.0,37.5680241045,126.8509754776,KOTSA,U_UPIS,문화시설,문화시설,11000NTC200112151794,옥외,0.0,34.0,,,,,
장애인 자립장 및 보훈회관,서울특별시 강서구 가양동  1472,강서구,가양동,11500104,12.0,37.5674196747,126.851800715,KOTSA,U_UPIS,공공청사,"가양2동사무소,파출소,우체국,재활용",,옥외,0.0,12.0,,,,,
가양2동사무소,서울특별시 강서구 가양동  1472-4,강서구,가양동,11500104,16.0,37.5673469462,126.8512847069,KOTSA,U_UPIS,공공청사,"가양2동사무소,파출소,우체국,재활용",,옥내,16.0,0.0,,,,,
가양1동 주민자치센터,서울특별시 강서구 가양동  1462-3,강서구,가양동,11500104,13.0,37.5695081609,126.8447739886,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200509158839,옥외,0.0,13.0,,,,,
강서소방서,서울특별시 강서구 등촌동  630-2,강서구,등촌동,11500102,33.0,37.5579657509,126.8601085296,KOTSA,U_UPIS,공공청사,강서소방서,11000NTC197901043015,혼합,8.0,25.0,,,,,
강서평생학습관및꿈꾸는어린이도서관,서울특별시 강서구 염창동  281-25,강서구,염창동,11500101,24.0,37.5473597242,126.8733365102,KOTSA,U_UPIS,문화시설,문화시설,11000NTC200206072674,옥내,24.0,0.0,,,,,
강서구립등빛도서관,서울특별시 강서구 등촌동  690-1,강서구,등촌동,11500102,11.0,37.5624267712,126.8423801305,KOTSA,U_UPIS,문화시설,공공도서관,11000NTC200912034180,혼합,9.0,2.0,,,,,
등촌3동사무소,서울특별시 강서구 등촌동  705-4,강서구,등촌동,11500102,20.0,37.5589236862,126.8478653499,KOTSA,U_UPIS,공공청사,"등촌3동사무소, 서울등촌우체국",,옥외,0.0,20.0,,,,,
